;"Tracker
Existing Subnet
PT Aplikanusa Lintasarta
PT Mastersystem Infotama, Tbk";;;;;;;;;;;;;;;;;;;;;;;;
No;Namespace;Name;CIDR;Provider;VPC;;;;;;;;;;;;;;;;;;;;
88;loft-l2-jatiluhur-v-demo-cluster;v1gbp6fqpxg73s;10.168.68.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
89;loft-l2-jatiluhur-v-demo-cluster;v1h7ai7a62xz0q;10.168.197.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
90;loft-l2-jatiluhur-v-demo-cluster;v1hmk5fjo8i9ra;10.168.130.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
91;loft-l2-jatiluhur-v-test-l2;v1itvx3pcp92ko;10.168.192.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
92;loft-sscx-technovation-v-learning;v1j5sp2p5gvpy7;10.168.71.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
93;loft-graymatics-pte-ltd-v-graymatics-project;v1jcawmq1mro6o;10.168.247.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
94;loft-ebesha-v-testtt;v1jf3btnsvd47a;10.168.173.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
95;loft-perisai-v-perisai-rnd-new;v1kt3jttedt81f;10.168.90.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
96;loft-l2-jatiluhur-v-test-l2;v1ltwtj3fb6f2y;10.168.72.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
97;loft-ioh-goto-v-goto-production;v1mu1kw2rrerym;10.168.3.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
98;loft-dxy-indonesia-v-indonesia;v1ptknyht1oqsm;10.168.79.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
99;loft-pt-digital-media-kreasi-indone-v-inapintar;v1qz4brekm9idi;10.168.45.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
100;loft-accenture-v-accenture-development;v1rp15n5jh8cr0;10.168.150.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
101;loft-l2-jatiluhur-v-rff-project;v1rrd98qllh979;10.168.49.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
102;loft-l2-jatiluhur-v-l2-labs;v1tyacvzm8olcr;10.168.122.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
103;loft-qa-enterprise-v-llm-fixed;v1uwnjpyzazvgt;10.168.207.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
104;loft-testingpm-v-testing-cloudeka;v1wy4tw94q1vts;10.168.88.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
105;loft-accenture-v-accenture-development;v1xohta18spxqb;10.168.107.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
106;loft-dareenolive-v-dareenolive;v202j0wt66ecan;10.168.100.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
107;loft-pt-indosat-ooredo-hutchison-v-cloud-project;v23s246fm8kvfr;10.168.194.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
108;loft-pt-iqi-v-bank-victoria;v24rg78bt1e3it;10.168.242.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
109;loft-internal-dashboard-delivery-v-dashboard-internal;v27pvukudxevjr;10.168.151.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
110;loft-l2-jatiluhur-v-l2-labs;v28ng8ykfd711d;10.168.171.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
111;loft-productmanagementcloud-v-pm-cloudeka;v2bsstqscxmi39;10.168.80.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
112;loft-l2-jatiluhur-v-test-l2;v2dizeagtg8sih;10.168.39.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
113;loft-bank-central-asia-v-bca-tbk;v2fpy6s96wbs5c;10.168.245.0/24;ovn;ovn-cluster;;;;;;;;;;;;;;;;;;;;
